wavelength      radiance
12.75510       5.49854E+00
12.73885       5.53170E+00
12.72265       5.77043E+00
12.70648       5.89686E+00
12.69036       5.92500E+00
12.67427       5.94648E+00
12.65823       5.86143E+00
12.64223       5.52709E+00
12.62626       5.32305E+00
12.61034       5.51609E+00
12.59446       5.67864E+00
12.57862       5.59510E+00
12.56281       5.49824E+00
12.54705       5.52964E+00
12.53133       5.43342E+00
12.51565       5.43575E+00
12.50000       5.77236E+00
12.48439       5.99455E+00
12.46883       5.89943E+00
12.45330       5.73358E+00
12.43781       5.80127E+00
12.42236       5.96546E+00
12.40695       6.01430E+00
12.39157       5.95260E+00
12.37624       5.87325E+00
12.36094       5.95839E+00
12.34568       6.08963E+00
12.33046       6.12682E+00
12.31527       6.12711E+00
12.30012       6.02613E+00
12.28501       5.90936E+00
12.26994       5.98296E+00
12.25490       6.12161E+00
12.23990       6.17871E+00
12.22494       6.20249E+00
12.21001       6.21645E+00
12.19512       6.22808E+00
12.18027       6.23971E+00
12.16545       6.24610E+00
12.15067       6.25560E+00
12.13592       6.22741E+00
12.12121       6.18609E+00
12.10654       6.18011E+00
12.09190       6.12868E+00
12.07729       6.12200E+00
12.06273       6.23490E+00
12.04819       6.31072E+00
12.03369       6.32438E+00
12.01923       6.33595E+00
12.00480       6.34680E+00
11.99041       6.34630E+00
11.97605       6.33000E+00
11.96172       6.33543E+00
11.94743       6.36594E+00
11.93317       6.36677E+00
11.91895       6.26609E+00
11.90476       6.18119E+00
11.89061       6.25539E+00
11.87648       6.34667E+00
11.86240       6.39448E+00
11.84834       6.42799E+00
11.83432       6.43215E+00
11.82033       6.43648E+00
11.80638       6.44824E+00
11.79245       6.40776E+00
11.77856       6.30197E+00
11.76471       6.29065E+00
11.75088       6.30228E+00
11.73709       6.13555E+00
11.72333       6.04301E+00
11.70960       6.15401E+00
11.69591       6.28997E+00
11.68224       6.42850E+00
11.66861       6.50548E+00
11.65501       6.49784E+00
11.64144       6.49198E+00
11.62791       6.51178E+00
11.61440       6.53711E+00
11.60093       6.54940E+00
11.58749       6.55051E+00
11.57407       6.49315E+00
11.56069       6.41434E+00
11.54734       6.45109E+00
11.53403       6.54693E+00
11.52074       6.58960E+00
11.50748       6.59431E+00
11.49425       6.51191E+00
11.48106       6.40585E+00
11.46789       6.46023E+00
11.45475       6.57652E+00
11.44165       6.61949E+00
11.42857       6.62732E+00
11.41553       6.62844E+00
11.40251       6.59311E+00
11.38952       6.51773E+00
11.37656       6.51913E+00
11.36364       6.58436E+00
11.35074       6.61011E+00
11.33787       6.60729E+00
11.32503       6.55172E+00
11.31222       6.53137E+00
11.29943       6.61835E+00
11.28668       6.59249E+00
11.27396       6.46953E+00
11.26126       6.48663E+00
11.24859       6.57435E+00
11.23596       6.61642E+00
11.22334       6.64222E+00
11.21076       6.67846E+00
11.19821       6.71102E+00
11.18568       6.72252E+00
11.17318       6.72003E+00
11.16071       6.71030E+00
11.14827       6.70068E+00
11.13586       6.70639E+00
11.12347       6.73097E+00
11.11111       6.74914E+00
11.09878       6.75127E+00
11.08647       6.74974E+00
11.07420       6.75485E+00
11.06195       6.76043E+00
11.04972       6.72884E+00
11.03753       6.68625E+00
11.02536       6.68964E+00
11.01322       6.60834E+00
